algo,rtt_setting,bw_setting,run,ss_rtt_ms,ss_rtt_var_ms,ss_cwnd_bytes,ss_pacing_mbps,ip_tp_mbps,ip_mean_rtt_ms
bbr,10,50,5,10.311,0.109,172280,63.5,45.088333649052515,12.048
vegas,100,50,4,101.02,0.453,1170920,111.0,16.42725151147626,101.883
reno,100,100,2,101.476,0.246,128480,20.3,16.776566187669665,101.622
cubic,200,500,4,201.15,0.081,128480,10.2,13.980198753752616,205.33
vegas,50,100,4,51.56,0.5,1116900,208.0,21.320522269853647,51.206
reno,10,100,1,11.485,0.431,128480,179.0,46.835843564907385,11.061
bbr,10,500,1,11.341,0.9,192720,62.2,45.436854499607506,11.783
vegas,100,500,4,100.319,0.089,547500,52.4,16.776960430969435,101.67
bbr,200,100,5,201.259,0.527,154760,3.17,13.980729524523985,201.322
reno,100,500,4,100.754,0.053,128480,20.4,16.776346985226166,102.124
reno,200,50,2,200.775,0.041,128480,10.2,13.980621875920807,202.098
cubic,50,100,1,53.759,0.635,129940,23.2,21.66993212600002,52.045
bbr,100,10,2,100.69,0.139,154760,6.33,16.42722851397114,105.146
cubic,100,50,5,101.063,0.296,128480,20.3,16.776674672630563,101.6
vegas,200,100,4,200.615,0.169,1137340,54.4,13.98055011110632,205.782
